technology,year,rate,gen_overnight_cost ($/MW),gen_fixed_om ($/MW-year)
bioenergy_diesel,2018,1,2701738.137,38461.53846
bioenergy_diesel,2019,0.998159393,2559000,45000
bioenergy_diesel,2020,0.996318149,2549578.144,44834.31672
bioenergy_diesel,2021,0.996310082,2540190.978,44669.24346
bioenergy_diesel,2022,0.994464157,2530838.374,44504.77797
bioenergy_diesel,2023,0.992617581,2521520.205,44340.91802
bioenergy_diesel,2024,0.990770352,2512236.344,44177.66138
bioenergy_diesel,2025,0.986523528,2502986.665,44015.00582
bioenergy_diesel,2026,0.984172592,2493771.041,43852.94914
bioenergy_diesel,2027,0.981253167,2484589.349,43691.48913
bioenergy_diesel,2028,0.978783493,2475441.461,43530.62359
bioenergy_diesel,2029,0.976068116,2466327.255,43370.35033
bioenergy_diesel,2030,0.972416361,2457246.607,43210.66717
bioenergy_diesel,2031,0.969002855,2448199.391,43051.57195
bioenergy_diesel,2032,0.965281374,2439185.487,42893.06249
bioenergy_diesel,2033,0.961420752,2430204.77,42735.13663
bioenergy_diesel,2034,0.958538268,2421257.119,42577.79224
bioenergy_diesel,2035,0.955393305,2412342.411,42421.02716
bioenergy_diesel,2036,0.950991995,2403460.527,42264.83927
bioenergy_diesel,2037,0.947902312,2394611.344,42109.22644
bioenergy_diesel,2038,0.944472322,2385794.742,41954.18656
bioenergy_diesel,2039,0.940347134,2377010.602,41799.71751
bioenergy_diesel,2040,0.936051323,2368258.804,41645.81719
bioenergy_diesel,2041,0.933301414,2359539.229,41492.4835
bioenergy_diesel,2042,0.929338639,2350851.757,41339.71437
bioenergy_diesel,2043,0.925977717,2342196.272,41187.50772
bioenergy_diesel,2044,0.922574348,2333572.655,41035.86146
bioenergy_diesel,2045,0.919657991,2324980.789,40884.77354
bioenergy_diesel,2046,0.915159359,2316420.557,40734.24191
bioenergy_diesel,2047,0.91179996,2307891.842,40584.26451
bioenergy_diesel,2048,0.908403588,2299394.529,40434.83931
bioenergy_diesel,2049,0.904988133,2290928.501,40285.96427
bioenergy_diesel,2050,0.89423568,2282493.644,40137.63736
bioenergy _natural_gas,2018,1,2651585.498,38461.53846
bioenergy _natural_gas,2019,0.998159393,2646704.97,38390.74587
bioenergy _natural_gas,2020,0.996318149,2641822.756,38319.92882
bioenergy _natural_gas,2021,0.996310082,2641801.364,38319.61853
bioenergy _natural_gas,2022,0.994464157,2636906.736,38248.6214
bioenergy _natural_gas,2023,0.992617581,2632010.384,38177.59929
bioenergy _natural_gas,2024,0.990770352,2627112.297,38106.552
bioenergy _natural_gas,2025,0.986523528,2615851.479,37943.2126
bioenergy _natural_gas,2026,0.984172592,2609617.771,37852.79198
bioenergy _natural_gas,2027,0.981253167,2601876.668,37740.50643
bioenergy _natural_gas,2028,0.978783493,2595328.117,37645.51898
bioenergy _natural_gas,2029,0.976068116,2588128.062,37541.0814
bioenergy _natural_gas,2030,0.972416361,2578445.122,37400.62928
bioenergy _natural_gas,2031,0.969002855,2569393.918,37269.34058
bioenergy _natural_gas,2032,0.965281374,2559526.091,37126.20667
bioenergy _natural_gas,2033,0.961420752,2549289.323,36977.72123
bioenergy _natural_gas,2034,0.958538268,2541646.17,36866.85646
bioenergy _natural_gas,2035,0.955393305,2533307.033,36745.89636
bioenergy _natural_gas,2036,0.950991995,2521636.582,36576.61518
bioenergy _natural_gas,2037,0.947902312,2513444.025,36457.78125
bioenergy _natural_gas,2038,0.944472322,2504349.112,36325.85854
bioenergy _natural_gas,2039,0.940347134,2493410.824,36167.19747
bioenergy _natural_gas,2040,0.936051323,2482020.114,36001.97397
bioenergy _natural_gas,2041,0.933301414,2474728.493,35896.20821
bioenergy _natural_gas,2042,0.929338639,2464220.859,35743.79382
bioenergy _natural_gas,2043,0.925977717,2455309.087,35614.5276
bioenergy _natural_gas,2044,0.922574348,2446284.763,35483.62878
bioenergy _natural_gas,2045,0.919657991,2438551.793,35371.4612
bioenergy _natural_gas,2046,0.915159359,2426623.284,35198.43687
bioenergy _natural_gas,2047,0.91179996,2417715.55,35069.22921
bioenergy _natural_gas,2048,0.908403588,2408709.78,34938.59954
bioenergy _natural_gas,2049,0.904988133,2399653.409,34807.23588
bioenergy _natural_gas,2050,0.89423568,2371142.361,34393.68
bioenergy_fuel_oil,2018,1,2627606.061,45000
bioenergy_fuel_oil,2019,0.998159393,2622769.669,44917.17266
bioenergy_fuel_oil,2020,0.996318149,2617931.607,44834.31672
bioenergy_fuel_oil,2021,0.996310082,2617910.409,44833.95368
bioenergy_fuel_oil,2022,0.994464157,2613060.045,44750.88704
bioenergy_fuel_oil,2023,0.992617581,2608207.973,44667.79116
bioenergy_fuel_oil,2024,0.990770352,2603354.182,44584.66584
bioenergy_fuel_oil,2025,0.986523528,2592195.2,44393.55875
bioenergy_fuel_oil,2026,0.984172592,2586017.866,44287.76662
bioenergy_fuel_oil,2027,0.981253167,2578346.769,44156.39252
bioenergy_fuel_oil,2028,0.978783493,2571857.439,44045.2572
bioenergy_fuel_oil,2029,0.976068116,2564722.498,43923.06523
bioenergy_fuel_oil,2030,0.972416361,2555127.125,43758.73626
bioenergy_fuel_oil,2031,0.969002855,2546157.775,43605.12848
bioenergy_fuel_oil,2032,0.965281374,2536379.187,43437.66181
bioenergy_fuel_oil,2033,0.961420752,2526234.995,43263.93384
bioenergy_fuel_oil,2034,0.958538268,2518660.962,43134.22206
bioenergy_fuel_oil,2035,0.955393305,2510397.239,42992.69874
bioenergy_fuel_oil,2036,0.950991995,2498832.329,42794.63976
bioenergy_fuel_oil,2037,0.947902312,2490713.861,42655.60406
bioenergy_fuel_oil,2038,0.944472322,2481701.198,42501.25449
bioenergy_fuel_oil,2039,0.940347134,2470861.829,42315.62104
bioenergy_fuel_oil,2040,0.936051323,2459574.13,42122.30955
bioenergy_fuel_oil,2041,0.933301414,2452348.451,41998.56361
bioenergy_fuel_oil,2042,0.929338639,2441935.841,41820.23877
bioenergy_fuel_oil,2043,0.925977717,2433104.662,41668.99729
bioenergy_fuel_oil,2044,0.922574348,2424161.949,41515.84567
bioenergy_fuel_oil,2045,0.919657991,2416498.912,41384.60961
bioenergy_fuel_oil,2046,0.915159359,2404678.277,41182.17114
bioenergy_fuel_oil,2047,0.91179996,2395851.1,41030.99818
bioenergy_fuel_oil,2048,0.908403588,2386926.773,40878.16146
bioenergy_fuel_oil,2049,0.904988133,2377952.303,40724.46598
bioenergy_fuel_oil,2050,0.89423568,2349699.092,40240.6056
bioenergy_thermal,2018,1,2716744.085,36000
bioenergy_thermal,2019,0.998159393,2711743.625,35933.73813
bioenergy_thermal,2020,0.996318149,2706741.438,35867.45337
bioenergy_thermal,2021,0.994476266,2701737.513,35801.14558
bioenergy_thermal,2022,0.992633738,2696731.837,35734.81458
bioenergy_thermal,2023,0.990790562,2691724.399,35668.46023
bioenergy_thermal,2024,0.988946733,2686715.186,35602.08238
bioenergy_thermal,2025,0.984707725,2675198.887,35449.4781
bioenergy_thermal,2026,0.982361116,2668823.751,35365.00018
bioenergy_thermal,2027,0.979447065,2660907.021,35260.09435
bioenergy_thermal,2028,0.976981937,2654209.899,35171.34974
bioenergy_thermal,2029,0.974271558,2646846.492,35073.77609
bioenergy_thermal,2030,0.970626525,2636943.869,34942.55488
bioenergy_thermal,2031,0.967219301,2627687.315,34819.89484
bioenergy_thermal,2032,0.963504669,2617595.611,34686.1681
bioenergy_thermal,2033,0.959651154,2607126.595,34547.44154
bioenergy_thermal,2034,0.956773975,2599310.038,34443.86311
bioenergy_thermal,2035,0.953634801,2590781.705,34330.85284
bioenergy_thermal,2036,0.949241592,2578846.479,34172.6973
bioenergy_thermal,2037,0.946157596,2570468.053,34061.67347
bioenergy_thermal,2038,0.942733919,2561166.799,33938.42109
bioenergy_thermal,2039,0.938616324,2549980.347,33790.18767
bioenergy_thermal,2040,0.93432842,2538331.209,33635.82313
bioenergy_thermal,2041,0.931583572,2530874.159,33537.00859
bioenergy_thermal,2042,0.927628092,2520128.131,33394.6113
bioenergy_thermal,2043,0.924273356,2511014.172,33273.84081
bioenergy_thermal,2044,0.920876251,2501785.108,33151.54504
bioenergy_thermal,2045,0.917965262,2493876.695,33046.74943
bioenergy_thermal,2046,0.91347491,2481677.557,32885.09674
bioenergy_thermal,2047,0.910121694,2472567.728,32764.38098
bioenergy_thermal,2048,0.906731574,2463357.639,32642.33665
bioenergy_thermal,2049,0.903322405,2454095.8,32519.60658
bioenergy_thermal,2050,0.892589743,2424937.904,32133.23075
coal,2018,1,1013205.192,33937.5
coal,2019,1.257223448,1274000,42667.02077
coal,2020,0.995578055,1009000,33787.43024
coal,2021,0.820062689,831000,27830.87752
coal,2022,0.816391578,827000,27706.28917
coal,2023,0.812714074,823000,27581.4839
coal,2024,0.807306309,818000,27397.95786
coal,2025,0.803607449,814000,27272.4278
coal,2026,0.799137654,810000,27120.73414
coal,2027,0.795876408,806000,27010.0556
coal,2028,0.79221338,803000,26885.74158
coal,2029,0.789004529,799000,26776.84119
coal,2030,0.785234731,796000,26648.90368
coal,2031,0.781375805,792000,26517.94139
coal,2032,0.777720527,788000,26393.89037
coal,2033,0.773645075,784000,26255.57974
coal,2034,0.769665115,780000,26120.50983
coal,2035,0.766381869,777000,26009.08468
coal,2036,0.76278483,773000,25887.01016
