load_zone,fuel,period,fuel_cost
01-hermosillo,diesel,2020,17.02
01-hermosillo,diesel,2021,17.7695
01-hermosillo,diesel,2022,17.974
01-hermosillo,diesel,2023,18.1785
01-hermosillo,diesel,2024,18.383
01-hermosillo,diesel,2025,18.5875
01-hermosillo,diesel,2026,18.792
01-hermosillo,diesel,2027,18.9965
01-hermosillo,diesel,2028,19.201
01-hermosillo,diesel,2029,19.4055
01-hermosillo,diesel,2030,19.61
01-hermosillo,diesel,2031,19.8145
01-hermosillo,diesel,2032,20.019
01-hermosillo,diesel,2033,20.2235
01-hermosillo,diesel,2034,20.428
01-hermosillo,diesel,2035,20.6325
01-hermosillo,diesel,2036,20.837
01-hermosillo,diesel,2037,21.0415
01-hermosillo,diesel,2038,21.246
01-hermosillo,diesel,2039,21.4505
01-hermosillo,diesel,2040,21.655
01-hermosillo,diesel,2041,21.8595
01-hermosillo,diesel,2042,22.064
01-hermosillo,diesel,2043,22.2685
01-hermosillo,diesel,2044,22.473
01-hermosillo,diesel,2045,22.6775
01-hermosillo,diesel,2046,22.882
01-hermosillo,diesel,2047,23.0865
01-hermosillo,diesel,2048,23.291
01-hermosillo,diesel,2049,23.4955
01-hermosillo,diesel,2050,23.7
01-hermosillo,fuel_oil,2020,10.14
01-hermosillo,fuel_oil,2021,10.7644
01-hermosillo,fuel_oil,2022,10.7644
01-hermosillo,fuel_oil,2023,10.7644
01-hermosillo,fuel_oil,2024,10.7644
01-hermosillo,fuel_oil,2025,10.7644
01-hermosillo,fuel_oil,2026,10.7644
01-hermosillo,fuel_oil,2027,10.7644
01-hermosillo,fuel_oil,2028,10.7644
01-hermosillo,fuel_oil,2029,10.7644
01-hermosillo,fuel_oil,2030,10.7644
01-hermosillo,fuel_oil,2031,10.7644
01-hermosillo,fuel_oil,2032,10.7644
01-hermosillo,fuel_oil,2033,10.7644
01-hermosillo,fuel_oil,2034,10.7644
01-hermosillo,fuel_oil,2035,10.7644
01-hermosillo,fuel_oil,2036,10.7644
01-hermosillo,fuel_oil,2037,10.7644
01-hermosillo,fuel_oil,2038,10.7644
01-hermosillo,fuel_oil,2039,10.7644
01-hermosillo,fuel_oil,2040,10.7644
01-hermosillo,fuel_oil,2041,10.7644
01-hermosillo,fuel_oil,2042,10.7644
01-hermosillo,fuel_oil,2043,10.7644
01-hermosillo,fuel_oil,2044,10.7644
01-hermosillo,fuel_oil,2045,10.7644
01-hermosillo,fuel_oil,2046,10.7644
01-hermosillo,fuel_oil,2047,10.7644
01-hermosillo,fuel_oil,2048,10.7644
01-hermosillo,fuel_oil,2049,10.7644
01-hermosillo,fuel_oil,2050,10.7644
01-hermosillo,natural_gas,2020,5.51
01-hermosillo,natural_gas,2021,5.5112679
01-hermosillo,natural_gas,2022,5.6036118
01-hermosillo,natural_gas,2023,5.6959557
