GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om
abbott_laboratories_de_mexico,2016,1085000,20058
abr-99,2016,2353000,19000
absormex_cmpc_tissue,2016,622320,7634.5
aes_merida_iii,2016,910280,16024.8
"aes_merida_iii,_merida_iii",2016,910280,16024.8
agnico_eagle_mexico,2016,3150526,28000
"agnico_eagle_mexico,_proyecto_mascota",2016,3150526,28000
agnico_sonora,2016,3150526,28000
agribrands_purina_mexico,2016,3182481,44702
agroenergia,2016,1860700,37694
agroindustrias_del_balsas,2016,1728420,32104.6
agropecuaria_la_nortenita,2016,3150526,28000
agua_prieta,2016,1910425,24967.8
agua_prieta_(valentin_gomez_farias),2016,1910425,24967.8
agua_prieta_ii,2016,910280,16024.8
aguamilpa_solidaridad,2016,1910425,24967.8
aguascalientes_sur_1,2016,2353000,19000
airbus_helicopters_mexico_queretaro,2016,3150526,28000
akra_polyester,2016,1728420,32104.6
"alambres_procesados_industriales,_planta_belisario_dominguez_57",2016,3150526,28000
alcoholera_de_zapopan,2016,2359223,35558.7
alfa_corporativo,2016,3150526,28000
alimentos_kowi,2016,3150526,28000
almidones_mexicanos,2016,622320,7634.5
altamira,2016,1728420,32104.6
alten_6,2016,2353000,19000
alten_aguascalientes_1_5,2016,2353000,19000
altos_hornos_de_mexico,2016,910280,16024.8
andalucia_ii,2016,2353000,19000
angostura_(belisario_dominguez),2016,1910425,24967.8
aragon,2016,622320,7634.5
arcelormittal_las_truchas,2016,1728420,32104.6
arcelormittal_lazaro_cardenas,2016,1728420,32104.6
at_solar_i_iv,2016,2353000,19000
atenco,2016,622320,7634.5
atlatec,2016,2359223,35558.7
"atlatec,_planta_el_ahogado",2016,2359223,35558.7
auma,2016,3150526,28000
autoabastecimiento_renovable,2016,2353000,19000
avomex_internacional,2016,3150526,28000
azinsa_aluminio,2016,3150526,28000
azsuremex,2016,2359223,35558.7
azufres_iii,2016,2038100,87118
b-energy_industries,2016,3167700,53203.8
bacurato,2016,1910425,24967.8
baja_california_iii_(la_jovita),2016,910280,16024.8
baja_california_sur_i,2016,3167700,53203.8
baja_california_sur_i_ume-1,2016,1085000,20058
baja_california_sur_i_ume-11,2016,1085000,20058
bartolinas,2016,1910425,24967.8
becton_dickinson_de_mexico,2016,3150526,28000
beneficencia_espanola_de_la_laguna,2016,3150526,28000
bepensa_bebidas,2016,3150526,28000
bii_nee_stipa_energia_eolica,2016,2016000,24963
"bimbo,_planta_baja_california",2016,3150526,28000
"bimbo,_planta_marinela_de_baja_california",2016,3150526,28000
"bimbo,_planta_tijuana",2016,3150526,28000
bio_pappel,2016,622320,7634.5
"bio_pappel_packaging,_planta_de_papel_tizayuca",2016,1728420,32104.6
bio_pappel_printing,2016,622320,7634.5
bio_pappel_scribe_1,2016,1728420,32104.6
bio_pappel_scribe_2,2016,1728420,32104.6
"bio_pappel,_planta_atenquique",2016,2359223,35558.7
bioelectrica_de_occidente,2016,2341500,44300
bioenergia_de_nuevo_leon,2016,2359223,35558.7
biotek_power,2016,3167700,53203.8
bluemex_power,2016,2353000,19000
bombana,2016,1910425,24967.8
boquilla,2016,1910425,24967.8
botello,2016,1910425,24967.8
braskem_idesa,2016,910280,16024.8
bridgestone_de_mexico,2016,3150526,28000
bsm_energia_de_veracruz,2016,2341500,44300
bticino_de_mexico,2016,3150526,28000
caborca,2016,1085000,20058
calpulalpan,2016,2353000,19000
cancun,2016,1085000,20058
caracol_(carlos_ramirez_ulloa),2016,1910425,24967.8
carbon_ii,2016,1899339,36463.6
cargill_de_mexico,2016,1085000,20058
cartones_ponderosa,2016,3167700,53203.8
caterpillar_mexico,2016,3167700,53203.8
caterpillar_torreon,2016,3167700,53203.8
ce_018,2016,2016000,24963
ce_019,2016,2016000,24963
ce_020,2016,2016000,24963
ce_021,2016,2016000,24963
ce_022,2016,2016000,24963
ce_027,2016,2016000,24963
ce_028,2016,2016000,24963
ce_029,2016,2016000,24963
ce_033,2016,2016000,24963
ce_034,2016,2016000,24963
ce_035,2016,2016000,24963
