GENERATION_PROJECT,gen_tech,gen_load_zone,gen_connect_cost_per_mw,gen_full_load_heat_rate,gen_variable_om,gen_capacity_limit_mw,gen_energy_source,gen_min_build_capacity,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_max_age,gen_unit_size,gen_ccs_capture_efficiency,gen_ccs_energy_load,gen_storage_efficiency,gen_store_to_release_ratio,gen_is_variable,gen_is_baseload,gen_is_cogen
agnico_sonora,internalcombustion_diesel,01-hermosillo,99048.565,11.14021877,6.63,.,diesel,0,0.1123,0.1123,20,.,.,.,.,.,0,1,0
hierro_sonora,internalcombustion_diesel,01-hermosillo,99048.565,11.14021877,6.63,.,diesel,0,0.1123,0.1123,20,.,.,.,.,.,0,1,0
minas_de_oro_nacional,internalcombustion_diesel,01-hermosillo,99048.565,11.14021877,6.63,.,diesel,0,0.1123,0.1123,20,.,.,.,.,.,0,1,0
"nusantara_de_mexico,_mina_santa_elena",internalcombustion_diesel,01-hermosillo,99048.565,11.14021877,6.63,.,diesel,0,0.1123,0.1123,20,.,.,.,.,.,0,1,0
caborca,turbogas_diesel,01-hermosillo,99048.565,16.44080673,3.432,.,diesel,0,0.0922,0.0922,30,.,.,.,.,.,0,1,0
e1_rurbanos_15,bioenergy_natural_gas,01-hermosillo,99048.565,9.163728341,4.37,.,natural_gas,0,0.0696,0.0696,30,.,.,.,.,.,0,1,0
e1_rpecuarios_15,bioenergy_natural_gas,01-hermosillo,99048.565,9.163728341,4.37,.,natural_gas,0,0.0696,0.0696,30,.,.,.,.,.,0,1,0
e1_rindustriales_15,bioenergy_natural_gas,01-hermosillo,99048.565,9.163728341,4.37,.,natural_gas,0,0.0696,0.0696,30,.,.,.,.,.,0,1,0
e1_rforestales_15,bioenergy_thermal,01-hermosillo,99048.565,9.163728341,4.37,.,natural_gas,0,0.0696,0.0696,30,.,.,.,.,.,0,1,0
fuerza_y_energia_de_hermosillo,combinedcycle_natural_gas,01-hermosillo,99048.565,6.648195071,3.05,.,natural_gas,0,0.0696,0.0696,30,.,.,.,.,.,0,1,0
hermosillo,combinedcycle_natural_gas,01-hermosillo,99048.565,6.648195071,3.05,.,natural_gas,0,0.0696,0.0696,30,.,.,.,.,.,0,1,0
puerto_libertad,thermoelectric_natural_gas,01-hermosillo,99048.565,8.624685497,2.688,.,natural_gas,0,0.1144,0.1144,30,.,.,.,.,.,0,1,0
abr-99,solarpv,01-hermosillo,99048.565,.,0,.,solar,0,0,0,25,.,.,.,.,.,1,0,0
