GENERATION_PROJECT,gen_tech,gen_energy_source,gen_connect_cost_per_mw,gen_full_load_heat_rate,gen_variable_om,gen_capacity_limit_mw,gen_min_build_capacity,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_max_age,gen_unit_size,gen_ccs_capture_efficiency,gen_ccs_energy_load,gen_storage_efficiency,gen_store_to_release_ratio,gen_is_variable,gen_is_baseload,gen_is_cogen
bioenergy_diesel,bioenergy_diesel,diesel,99048.565,46.26784408,3.94,26.625,0,0.1144,0.1144,20,.,.,.,.,.,0,1,0
bioenergy_natural_gas,bioenergy_natural_gas,natural_gas,99048.565,9.163728341,4.37,8.808888889,0,0.1123,0.1123,20,.,.,.,.,.,0,1,0
bioenergy_fuel_oil,bioenergy_fuel_oil,fuel_oil,99048.565,45.99832266,3.94,24.33333333,0,0.1144,0.1144,20,.,.,.,.,.,0,1,0
bioenergy_thermal,bioenergy_thermal,natural_gas,99048.565,9.163728341,4.37,9.474408602,0,0.0696,0.0696,30,.,.,.,.,.,0,1,0
coal,coal,coal,99048.565,9.163728341,3.782,350.0245248,0,0.1171,0.1171,20,.,.,.,.,.,0,1,0
cogeneration_natural_gas,cogeneration_natural_gas,natural_gas_cogen,99048.565,9.253568815,3.08,49.85714286,0,0.1123,0.1123,30,.,.,.,.,.,0,1,1
combinedcycle_natural_gas,combinedcycle_natural_gas,natural_gas,99048.565,6.648195071,3.05,406.5733971,0,0.0696,0.0696,30,.,.,.,.,.,0,1,0
geothermal,geothermal,geosteam,99048.565,.,0.06,30.60848575,0,0.0512,0.0512,30,.,.,.,.,.,0,1,0
hydroelectric_small,hydroelectric_water_renewable,water_renewable,99048.565,.,0,30,0,0.03,0.03,50,.,.,.,.,.,0,1,0
internalcombustion_natural_gas,internalcombustion_natural_gas,natural_gas,99048.565,11.14021877,6.63,24.30785714,0,0.1123,0.1123,20,.,.,.,.,.,0,1,0
internalcombustion_diesel,internalcombustion_diesel,diesel,99048.565,9.523090232,6.63,11.8457193,0,0.1123,0.1123,30,.,.,.,.,.,0,1,0
lf,lf,coal,99048.565,8.804366445,2.46,375.25,0,0.1171,0.1171,20,.,.,.,.,.,0,1,0
nuclear,nuclear,uranium,99048.565,9.253568815,2.25,1221.225,0,0.1068,0.1068,60,.,.,.,.,.,0,1,0
solarpv,solarpv,solar,99048.565,.,0,78.10277872,0,0,0,25,.,.,.,.,.,1,0,0
solarpv_distributed,solarpv_distributed,solar_distributed,99048.565,.,0,.,0,0,0,25,.,.,.,.,.,1,0,0
turbogas_diesel,turbogas_diesel,diesel,99048.565,16.44080673,3.432,23.61814815,0,0.0922,0.0922,30,.,.,.,.,.,0,1,0
turbogas_natural_gas,turbogas_natural_gas,natural_gas,99048.565,16.35096625,3.432,56.56588587,0,0.0922,0.0922,30,.,.,.,.,.,0,1,0
thermoelectric_natural_gas,thermoelectric_natural_gas,natural_gas,99048.565,9.612930706,2.688,129.7095238,0,0.1144,0.1144,30,.,.,.,.,.,0,1,0
thermoelectric_fuel_oil,thermoelectric_fuel_oil,fuel_oil,99048.565,9.972292603,2.688,154.9481481,0,0.1144,0.1144,30,.,.,.,.,.,0,1,0
wind,wind,wind,99048.565,.,0,96.8557984,0,0,0,25,.,.,.,.,.,1,0,0
